title,tags
Avatar,"action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d 22nd century, parapleg marin dispatch moon pandora uniqu mission, becom torn follow order protect alien civilization. samworthington zoesaldana sigourneyweav jamescameron"
Pirates of the Caribbean: At World's End,"adventur fantasi action ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting captain barbossa, long believ dead, come back life head edg earth turner elizabeth swann. noth quit seems. johnnydepp orlandobloom keiraknightley goreverbinski"
Spectre,"action adventur crime spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom cryptic messag bond’ past send trail uncov sinist organization. battl polit forc keep secret servic alive, bond peel back layer deceit reveal terribl truth behind spectre. danielcraig christophwaltz léaseydoux sammend"
The Dark Knight Rises,"action crime drama thriller dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman follow death district attorney harvey dent, batman assum respons dent' crime protect late attorney' reput subsequ hunt gotham citi polic department. eight year later, batman encount mysteri selina kyle villain bane, new terrorist leader overwhelm gotham' finest. dark knight resurfac protect citi brand enemy. christianbal michaelcain garyoldman christophernolan"
John Carter,"action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d john carter war-weary, former militari captain who' inexplic transport mysteri exot planet barsoom (mars) reluctantli becom embroil epic conflict. world brink collapse, carter rediscov human realiz surviv barsoom peopl rest hands. taylorkitsch lynncollin samanthamorton andrewstanton"
Spider-Man 3,"fantasi action adventur dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng seemingli invinc spider-man goe all-new crop villain – includ shape-shift sandman. spider-man’ superpow alter alien organism, alter ego, peter parker, deal nemesi eddi brock also get caught love triangle. tobeymaguir kirstendunst jamesfranco samraimi"
Tangled,"anim famili hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick kingdom' wanted-and charming-bandit flynn rider hide mysteri tower, he' taken hostag rapunzel, beauti feisti tower-bound teen 70 feet magical, golden hair. flynn' curiou captor, who' look ticket tower lock away years, strike deal handsom thief unlik duo set action-pack escapade, complet super-cop horse, over-protect chameleon gruff gang pub thugs. zacharylevi mandymoor donnamurphi byronhoward nathangreno"
Avengers: Age of Ultron,"action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d toni stark tri jumpstart dormant peacekeep program, thing go awri earth’ mightiest hero put ultim test fate planet hang balance. villain ultron emerges, aveng stop enact terribl plans, soon uneasi allianc unexpect action pave way epic uniqu global adventure. robertdowneyjr. chrishemsworth markruffalo josswhedon"
Harry Potter and the Half-Blood Prince,"adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf harri begin sixth year hogwarts, discov old book mark 'properti half-blood prince', begin learn lord voldemort' dark past. danielradcliff rupertgrint emmawatson davidy"
Batman v Superman: Dawn of Justice,"action adventur fantasi dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers fear action god-lik super hero left unchecked, gotham city’ formidable, forc vigilant take metropolis’ revered, modern-day savior, world wrestl sort hero realli needs. batman superman war one another, new threat quickli arises, put mankind greater danger it’ ever known before. benaffleck henrycavil galgadot zacksnyd"
Superman Returns,"adventur fantasi action sciencefict savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor superman return discov 5-year absenc allow lex luthor walk free, closest felt abandon move on. luthor plot ultim reveng could see million kill chang face planet forever, well rid man steel. brandonrouth kevinspacey katebosworth bryansing"
Quantum of Solace,"adventur action thriller crime kill undercov secretag britishsecretservic quantum solac continu adventur jame bond casino royale. betray vesper, woman loved, 007 fight urg make latest mission personal. pursu determin uncov truth, bond interrog mr. white, reveal organ blackmail vesper far complex danger anyon imagined. danielcraig olgakurylenko mathieuamalr marcforst"
Pirates of the Caribbean: Dead Man's Chest,"adventur fantasi action witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting captain jack sparrow work way blood debt ghostli davey jones, also attempt avoid etern damnation. johnnydepp orlandobloom keiraknightley goreverbinski"
The Lone Ranger,"action adventur western texa hors survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto texa ranger chase gang outlaw led butch cavendish, gang ambush rangers, seemingli kill all. one survivor found, however, american indian name tonto, nurs back health. ranger, don mask ride white stallion name silver, team tonto bring unscrupul gang other ilk justice. johnnydepp armiehamm williamfichtn goreverbinski"
Man of Steel,"action adventur fantasi sciencefict savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers young boy learn extraordinari power earth. young man, journey discov came sent do. hero must emerg save world annihil becom symbol hope mankind. henrycavil amyadam michaelshannon zacksnyd"
The Chronicles of Narnia: Prince Caspian,"adventur famili fantasi basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld one year incred adventur lion, witch wardrobe, peter, edmund, luci susan pevensi return narnia aid young princ whose life threaten evil king miraz. now, help color cast new characters, includ trufflehunt badger nikabrik dwarf, pevensi clan embark incred quest ensur narnia return right heir. benbarn williammoseley annapopplewel andrewadamson"
